Input,Model,MAE,RMSE,PCC,BestParams
GSMAP_GAUGE_land,Random Forest,57.915084085846246,91.10940985830273,0.7638260911358455,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
GSMAP_GAUGE_land,XGBoost,62.14126335531473,95.50823245583999,0.7639636326979524,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
GSMAP_GAUGE_land,LightGBM,64.41236679880757,98.85367424686336,0.736297020027548,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
GSMAP_GAUGE_land,CatBoost,61.03450498148254,95.90743288870748,0.7493451888597166,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.05}"
GSMAP_MVK_land,Random Forest,58.86318237362146,99.54096450182827,0.7064506309594223,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
GSMAP_MVK_land,XGBoost,76.65000206323134,118.3782808151668,0.5542296945493368,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
GSMAP_MVK_land,LightGBM,69.73410459219002,113.94468082402432,0.6048371061989158,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 300, ""num_leaves"": 15}"
GSMAP_MVK_land,CatBoost,63.79338038972519,101.416511937673,0.6812564745773266,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.05}"
IMERG_land,Random Forest,56.775888597664746,87.14850201588972,0.7641392710647844,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
IMERG_land,XGBoost,66.52578041077487,97.48644810106441,0.7071373128580597,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
IMERG_land,LightGBM,70.68928170266483,106.28658760705105,0.651165229914704,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
IMERG_land,CatBoost,59.878309403553686,89.72604804627996,0.7606846619796519,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
PDIR_land,Random Forest,63.15221499769554,91.26645959020968,0.7285284504969504,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
PDIR_land,XGBoost,74.55460638999939,108.02351254257205,0.6381351141343752,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
PDIR_land,LightGBM,69.2782419171293,102.56493112812274,0.6808893688182537,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
PDIR_land,CatBoost,68.46348559791583,97.26152035960384,0.6970707191702952,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
PERSIANN_land,Random Forest,70.15027314814816,111.75996107714293,0.6068195080648237,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
PERSIANN_land,XGBoost,81.57229134440422,128.4066018545428,0.49807281794624214,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
PERSIANN_land,LightGBM,78.13767346318438,122.01283852630016,0.5510776624381967,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
PERSIANN_land,CatBoost,74.53857682908486,111.91906339184645,0.6167744811859162,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.05}"
